;BOANA.ALMENDARIZAE;PRISTIMANTIS.ALTAMNIS;LEPTODACTYLUS.ANDREAE;ALOPOGLOSSUS.ATRIVENTRIS;PRISTIMANTIS.BELLAE;PRISTIMANTIS.BICANTUS;BIFURCUS;BUCLEYI;CENCHOA;CINERASCENS;PRISTIMANTIS.CROSEONGUINIS;PRISTIMANTIS.ERIPHUS;ESTRANGULATA;FESTAE;FITCHI;FLAVOPUNCTATA;FUSCOAURATUS;PRISTIMANTIS.GALDI;PRISTIMANTIS.GANONATUS;PRISTIMANTIS.INCOMPTUS;PRISTIMANTIS.KATOPTROIDES;LANCIFORMIS;LOCHITES;MARINA;MINUTUS;MUTABOR;PRISTIMANTIS.OCKENDENI;PALMATTA;PARVICEPS;PERUVIANA;PRAESTABILIS;QUAQUAVERSUS;RUBER;SARAYACUENSIS;SIMPSONI;SIREN;PRISTIMANTIS.SP
ANZU;1;1;1;1;0;0;1;1;2;1;1;0;1;0;2;1;1;0;0;0;1;1;0;1;1;2;1;0;2;0;1;1;1;1;0;1;1
ZUNAC;0;0;0;1;5;1;0;6;0;0;0;3;0;8;7;0;0;3;1;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;6
